#,Nome,Fuori lista,Sq.,Under,R.,R.MANTRA,PGv,MV,FM,FVM/1000,QUOT.,FantaSquadra,Costo
7407,Cuenca A.,*,Como,19,D,Ds/Dc,0,0,0,4,1,,
7312,Arizala,,Udinese,21,D,Ds/E,0,0,0,4,4,,
7211,Athekame,*,Milan,22,D,Dd/E,0,0,0,4,3,,
7202,Ndiaye,,Parma,24,D,Dc,1,6,5.5,4,1,,
7154,Odenthal,,Sassuolo,26,D,Dc,1,7,6.5,4,1,,
6985,Candè,,Sassuolo,28,D,Ds/Dc,0,0,0,4,3,,
6673,Sverko,,Venezia,28,D,Ds/Dc,0,0,0,4,3,,
6638,Marin R.,,Napoli,24,D,Dc,1,5.5,6,4,2,,
5757,Cittadini,,Frosinone,24,D,Dc,1,5.5,6,4,3,,
5603,Pongracic,,Fiorentina,29,D,Dc,0,0,0,4,4,,
4751,Tomori,,Milan,29,D,Dc,0,0,0,4,7,,
4461,Zappa,,Cagliari,27,D,B/Dd/E,1,6,6,4,4,,
4375,Terzic,,Frosinone,27,D,Ds/E,1,5.5,5.5,4,4,,
2728,Pellegrini Lu.,,Lazio,27,D,Ds/E,0,0,0,4,2,,
2640,Kolasinac,,Atalanta,33,D,Ds/Dc,1,6,6,4,5,,
2593,Martin,,Genoa,29,D,Ds/E,0,0,0,4,5,,
2170,Milinkovic-Savic V.,,Napoli,29,P,Por,0,0,0,4,5,,
7128,Kuhn,,Como,26,A,W/A,0,0,0,3,3,,
383,Petagna,*,Monza,31,A,Pc,0,0,0,3,2,,
7418,Chakvetadze,,Udinese,27,C,W/T,0,0,0,3,2,,
7345,Przyborek,,Lazio,19,C,W/T,0,0,0,3,1,,
7183,Aboukhlal,,Torino,26,C,W/A,1,5.5,0,3,3,,
7138,Ordonez C.,,Parma,22,C,M/C,1,6,6.5,3,2,,
6903,Hasa,,Frosinone,22,C,C/T,1,6,6,3,2,,
6252,Folorunsho,,Napoli,28,C,C/T,0,0,0,3,4,,
